Observation,TextUrn,Image,Comments
urn:cite:op:2016D.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@ἡ[1],"urn:cite:hmt:vaimg.VA312VN-0814@0.4784,0.2287,0.0183,0.016",
urn:cite:op:2016D.2,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@δ[1],"urn:cite:hmt:vaimg.VA312VN-0814@0.499,0.2304,0.0094,0.0126",
urn:cite:op:2016D.3,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@ὲ[1],"urn:cite:hmt:vaimg.VA312VN-0814@0.5071,0.2272,0.0166,0.0162",
urn:cite:op:2016D.4,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@μ[1],"urn:cite:hmt:vaimg.VA312VN-0814@0.5276,0.2365,0.0129,0.0115",
urn:cite:op:2016D.5,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@ο[1],"urn:cite:hmt:vaimg.VA312VN-0814@0.5398,0.2365,0.0091,0.0084",
urn:cite:op:2016D.6,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@λ[1],"urn:cite:hmt:vaimg.VA312VN-0814@0.5479,0.2317,0.0158,0.0141",
urn:cite:op:2016D.7,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@υ[1],"urn:cite:hmt:vaimg.VA312VN-0814@0.5645,0.2367,0.0111,0.0067",
urn:cite:op:2016D.8,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@β[1],"urn:cite:hmt:vaimg.VA312VN-0814@0.5756,0.2354,0.0131,0.0087",
urn:cite:op:2016D.9,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@δ[2],"urn:cite:hmt:vaimg.VA312VN-0814@0.5858,0.2267,0.0166,0.0176",
urn:cite:op:2016D.10,urn:cts:greekLit:tlg0012.tlg001.msA:24.80@α[1],"urn:cite:hmt:vaimg.VA312VN-0814@0.6001,0.2347,0.0116,0.0084",
