Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:24.D1,"urn:cite:hmt:vaimg.VA312VN-0814@0.2275,0.1149,0.644,0.0427",urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D2,"urn:cite:hmt:vaimg.VA312VN-0814@0.2301,0.1438,0.6514,0.0562",urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D3,"urn:cite:hmt:vaimg.VA312VN-0814@0.2296,0.1889,0.6541,0.0222",urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D4,"urn:cite:hmt:vaimg.VA312VN-0814@0.2812,0.2,0.2756,0.015",urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D5,"urn:cite:hmt:vaimg.VA312VN-0814@0.2259,0.2087,0.1966,0.0392",urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D6,"urn:cite:hmt:vaimg.VA312VN-0814@0.2211,0.2399,0.2029,0.055",urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D7,"urn:cite:hmt:vaimg.VA312VN-0814@0.211,0.4793,0.2132,0.126",urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D8,"urn:cite:hmt:vaimg.VA312VN-0814@0.212,0.6042,0.2132,0.0705",urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D9,"urn:cite:hmt:vaimg.VA312VN-0814@0.2135,0.6665,0.2709,0.0761",urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg5026.msA.hmt:24.D10,"urn:cite:hmt:vaimg.VA312VN-0814@0.2184,0.7169,0.6452,0.0369",urn:cite:hmt:msA.312v
